Date and time of Verification,Supply,State,District/City,Name of vendor,Contact details,"Preferred mode of contact (voice call, whatsapp, etc)",Links,Misc Data ,"Status (out of stock, working number)"
N/A,Oxygen Cans,Delhi,Faridabad/Delhi,Sonu,8851603668,N/A,N/A,12L,N/A
N/A,Oxygen Cans,Delhi,Delhi-NCR,N/A,9781260154,N/A,N/A,N/A,N/A
N/A,Oxygen Cans,Delhi,Delhi,Kanika,9205445637,N/A,N/A,N/A,N/A
N/A,Oxygen Cans,Delhi,Delhi,N/A,9781260154,N/A,N/A,6L and 12L available,N/A
N/A,Oxygen Cans,Delhi,"Palam Vihar, Gurgaon",N/A,98733 57335,N/A,N/A,12L,N/A
N/A,Oxygen Cans,Delhi,"Samridhi Grand Avenue, Tech Zone 4, greater noida west, flat no. 1003",N/A,9599729383,N/A,N/A,"12L, 1500/-",N/A
N/A,Oxygen Cans,Delhi,"H-42 Naveen Shahara, Delhi- 110032",N/A,9650734957,N/A,N/A,"8L-10L, 400/-",N/A
N/A,Oxygen Cans,Delhi,Delhi,N/A,7011549539,N/A,N/A,"6L, 2000/-",N/A
N/A,Oxygen Cans,Delhi,"Plot no. 201, Sec 28, Dwarka Phase II",Hial Services Pvt. Ltd.,9818798980,N/A,N/A,"18L, 3500/- , 11AM-6PM",N/A
N/A,Oxygen Cans,Delhi,Gurgaon / Gurugram,N/A,8527270707,N/A,N/A,N/A,N/A
N/A,Oxygen Cans,Delhi,New Delhi,N/A,98104 90521,N/A,N/A,N/A,N/A
NA,Oxygen Flow Meter/kit,Delhi,Shakti Nagar,Vijay Equipment Delhi,9711661315,NA,Self pickup available only,NA,N/A
NA,Oxygen Flow Meter/kit,Delhi,Delhi,NA,9899429429,NA,NA,NA,N/A
N/A,Oxygen Flow Meter/kit,Delhi,Delhi,Himanshu Gupta Oxygen,99534 70678,N/A,N/A,N/A,N/A
N/A,Oxygen Flow Meter/kit,Delhi,"Sector 10, Gurgaon",N/A,8800886230,N/A,N/A,4500/- (call before pickup),N/A
N/A,Oxygen Flow Meter/kit,Delhi,"Ghaziabad, IMS Engineering College Dasna",N/A,96674 64012,N/A,N/A,N/A,N/A
N/A,Oxygen Flow Meter/kit,Delhi,Delhi,N/A,99902 54141,N/A,N/A,N/A,N/A
N/A,Oxygen Flow Meter/kit,Delhi,Delhi,N/A,7016139648,N/A,N/A,N/A,N/A
N/A,Oxygen Flow Meter/kit,Delhi,Ghaziabad,N/A,9560690404,N/A,N/A,N/A,N/A
N/A,Oxygen Flow Meter/kit,Delhi,Gurgaon / Gurugram,N/A,9899069707,N/A,N/A,N/A,N/A
NA,Home RTPCR ,Delhi,Delhi,NA,9560395533,N/A,NA,NA,N/A
N/A,Home RTPCR ,Delhi,"Indo Gulf Hospital, Noida",N/A,9999369797,N/A,N/A,9AM - 12PM (mktg@indogulfhospital.com),N/A
N/A,Home RTPCR ,Delhi,"Dr. Dangs Lab ,C-2/1, Safadarjung Development Area , New Delhi",N/A,9999992020,N/A,N/A,"Register online at info@drdangslab.com, 1200/- (home), 800/- (walk-in)",N/A
N/A,Home RTPCR ,Delhi,"S-13, GK Part 1, Delhi",Dr P Bhasin Path Labs,"9311193111, 011-49989898",N/A,www.bhasinpathlabs.com,800/- for walk-in and 1200/- for home,N/A
N/A,Home RTPCR ,Delhi,North Delhi,Sanjay Thyrocare,9911661943,N/A,N/A,N/A,N/A
N/A,Home RTPCR ,Delhi,"Tilak Nagar, Delhi 110018",Aarogya Path Lab,8595918915,N/A,N/A,1200/-,N/A
N/A,Home RTPCR ,Delhi,South Delhi,Pathkind Labs,7419127687 / 9310161045,N/A,N/A,1500/-,N/A
N/A,Home RTPCR ,Delhi,Noida,Dr Das Pathlab,9818945431,N/A,N/A,1200/-,N/A
N/A,Home RTPCR ,Delhi,"C 64, near YMCA School, Block A, Nizamuddin East, New Delhi, Delhi 110013",Oxxy Healthcare,9999000102,N/A,N/A,N/A,N/A
N/A,Home RTPCR ,Delhi,"Rajouri Garden, Delhi",Resure Path Lab,7011015633,N/A,N/A,"Individual for 2000/-, group for 1200/-",N/A
N/A,Home RTPCR ,Delhi,South Delhi,"Focus lab, Green Park",9958088079,N/A,N/A,1200/-,N/A
N/A,Home RTPCR ,Delhi,N/A,Health Heart Path Labs,9899637413,N/A,N/A,Home testing for groups,N/A
N/A,Home RTPCR ,Delhi,Dwarka,Prognosis Lab,8130192290,N/A,N/A,N/A,N/A
N/A,Home RTPCR ,Delhi,Delhi-NCR,Thyrocare,7503510545,N/A,N/A,N/A,N/A
N/A,Home RTPCR ,Delhi,Noida,NICPR,9910990090,N/A,N/A,N/A,N/A
N/A,Home RTPCR ,Delhi,Gautam Buddh Nagar and Ghaziabad,Abhishek,7678521008,N/A,N/A,N/A,N/A
N/A,Home RTPCR ,Delhi,Gautam Buddh Nagar,Prashant,8010506299,N/A,N/A,N/A,N/A
N/A,Home RTPCR ,Delhi,East Delhi and Noida,Sagar,9555010155,N/A,N/A,N/A,N/A
N/A,Home RTPCR ,Delhi,Delhi-NCR,Keshav Kumar,9899637413,N/A,N/A,N/A,N/A
N/A,Home RTPCR ,Delhi,Delhi,Rohit Core Diagnostics,8851367848,N/A,N/A,N/A,N/A
N/A,Home RTPCR ,Delhi,South Delhi,N/A,9718047046,N/A,N/A,N/A,N/A
N/A,Home RTPCR ,Delhi,"North Delhi, Kingsway Camp, Mukherjee Nagar",Shukla Lab,8757560588,N/A,N/A,N/A,N/A
N/A,Home RTPCR ,Delhi,Faridabad,Anuj,9958753920,N/A,N/A,N/A,N/A
N/A,Home RTPCR ,Delhi,Faridabad,N/A,9810981083,N/A,N/A,Walk-in centre,N/A
N/A,Home RTPCR ,Delhi,Delhi-NCR,Pawan,6398179074,N/A,N/A,"10AM - 7PM, 1200/-",N/A
N/A,Home RTPCR ,Delhi,"Delhi, Noida",Eleshba Noris,8510053123 / 9582023516,Whatsapp first number for appointment,N/A,"1500/- for Delhi, 2200/- for Noida",N/A
N/A,Home RTPCR ,Delhi,Faridabad,Sarvodaya Hospital,0129-4194444,N/A,N/A,Walk-in centre,N/A
N/A,Home RTPCR ,Delhi,Gurgaon / Gurugram,Modern Diagnostics,7838822222,N/A,N/A,N/A,N/A
N/A,Home RTPCR ,Delhi,Noida,Apollo Hospital,1860-500-1066,N/A,N/A,Walk-in centre,N/A
N/A,Home RTPCR ,Delhi,Ghaziabad,Indocare,9811356126,N/A,N/A,1200/-,N/A
N/A,Home RTPCR ,Delhi,Dwarka,Aroha Diagnostics,7290045111,N/A,N/A,"7AM - 8PM, book one day in advance",N/A
N/A,Home RTPCR ,Delhi,Dwarka,Shubham - SRL Franchise,8447780675,N/A,N/A,N/A,N/A
N/A,Home RTPCR ,Delhi,South Delhi,Rahul,8307228717,N/A,N/A,1200/-,N/A
N/A,Home RTPCR ,Delhi,"Gurgaon, Delhi",Genex Diagnostics,9149590616,N/A,N/A,N/A,N/A
N/A,Home RTPCR ,Delhi,Gurgaon / Gurugram,Lifecell ,9599314156,Whatsapp,https://www.lifecell.in/covid/appointment/index,Have to Whatsapp screenshot of booking to number,N/A
N/A,Home RTPCR ,Delhi,"Dwarka, South and West Delhi, East Delhi if there is bulk",Core Diagnostics,9810783623,N/A,N/A,"1500/-, 8AM - 8PM",N/A
N/A,Home RTPCR ,Delhi,West Delhi,Ajay Kaushik,9868837335,N/A,N/A,1200/-,N/A
N/A,Home RTPCR ,Delhi,South Delhi,Microcare,9810400063,N/A,N/A,"Lab test only, 800/-",N/A
N/A,Home RTPCR ,Delhi,Lajpat Nagar,Health Well Diagnostics,8595683154,N/A,N/A,"Walk-in centre, 1200/-, 10AM - 8PM",N/A
N/A,Home RTPCR ,Delhi,"Sector-7, Rohini",Gagan Pathology Centre,011-27052705 / 8750983554,N/A,N/A,"800/-, 9am-11am, 2pm-3pm",N/A
N/A,Home RTPCR ,Delhi,Delhi-NCR,Healthier India Diagnostics,9811145888,N/A,N/A,1200/-,N/A
N/A,Home RTPCR ,Delhi,"Jasola Vihar, Sarita Vihar, Shaheen Bagh",Sushil Thyrocare,8851519528,N/A,N/A,1200/-,N/A
N/A,Home RTPCR ,Delhi,Greater Noida,Hindustan Wellness,9810981083,N/A,N/A,900/- ,N/A
N/A,Home RTPCR ,Delhi,"Dept of Laboratory Services, Action Cancer Hospital, A-4, Paschim Vihar (East), New-Delhi",Dept. of Laboratory Services,011-49222222,N/A,N/A,Walk-in centre,N/A
N/A,Home RTPCR ,Delhi,"Sector-9, Bahadurgarh",N/A,9467679268,N/A,N/A,1200/-,N/A
N/A,Home RTPCR ,Delhi,"Delhi, Gurgaon, Noida",Apollo Green,9953441101,N/A,N/A,1200/-,N/A
N/A,Home RTPCR ,Delhi,Delhi-NCR,N/A,9315270095,N/A,N/A,1200/-,N/A
N/A,Home RTPCR ,Delhi,"H-55, Sector 63 Rd, A Block, electronic city, Noida",Redcliffe Life Sciences,9310054404 / 8920686307,N/A,N/A,N/A,N/A
N/A,Home RTPCR ,Delhi,Delhi,Yogendra Singh Krishna Diagnostics,8368997660,N/A,N/A,N/A,N/A
N/A,Home RTPCR ,Delhi,"Uttam Nagar, Delhi",Otabu Path Lab,9911275888,N/A,N/A,1200/-,N/A
N/A,Home RTPCR ,Delhi,Delhi-NCR,Max Life,7982100200,N/A,N/A,N/A,N/A
N/A,Home RTPCR ,Delhi,Delhi-NCR,Dr Khanna's Lab,9899099820,N/A,N/A,N/A,N/A
N/A,Home RTPCR ,Delhi,Delhi,Dr Lal Path Labs,011-39885050,N/A,N/A,N/A,N/A
N/A,Home RTPCR ,Delhi,Delhi-NCR,Indocare Path Lab,9990444903,N/A,N/A,N/A,N/A
NA,Ambulance,Delhi,Delhi,NA,9667467849,NA,NA,NA,available 
N/A,Ambulance,Delhi,Delhi-NCR,N/A,9457583649,N/A,N/A,Oxygen and doctor available,available 
N/A,Ambulance,Delhi,Gautam Buddh Nagar and Ghaziabad,N/A,9990988830,N/A,N/A,N/A,available 
N/A,Ambulance,Delhi,Delhi,Help Now Ambulances,8822288222 / 9818141789,N/A,N/A,Non-oxy,available 
N/A,Ambulance,Delhi,Delhi,Jayant Malhotra,9650123460,N/A,N/A,Free,available 
N/A,Ambulance,Delhi,Ghaziabad,Medlift Ambulances,9958718258,N/A,N/A,"Air, train and road trasport available",available 
N/A,Ambulance,Delhi,Delhi,Charanjeev Malhotra,9717263888,N/A,N/A,Free,available 
N/A,Ambulance,Delhi,Delhi,Rashid Anwer,7549600246,N/A,N/A,Oxygen,available 
N/A,Ambulance,Delhi,Delhi,N/A,9599174335,N/A,N/A,Oxy and non-oxy,available 
N/A,Ambulance,Delhi,Delhi-NCR,Suneel Yadav,8510859092,N/A,N/A,Non-oxy,available 
N/A,Ambulance,Delhi,Delhi,Naresh Ambulance,7208672390,N/A,N/A,Non-oxy,available 
N/A,Ambulance,Delhi,Delhi,Prashant,9264470192,N/A,N/A,N/A,available 
N/A,Ambulance,Delhi,Pan-India,Medivic Ambulance,7985555149,N/A,N/A,N/A,available 
N/A,Ambulance,Delhi,Delhi-NCR,N/A,9868476173,N/A,N/A,N/A,available 
N/A,Ambulance,Delhi,South Delhi,PS Ambulance,9582828718,N/A,N/A,N/A,available 
N/A,Ambulance,Delhi,Delhi,Medulance Ambulance,8882978888,N/A,N/A,Non-oxy,available 
N/A,Ambulance,Delhi,South Delhi,Marwah Ambulance,9991894594 / 8595327828,N/A,N/A,Oxygen conditional,available 
N/A,Ambulance,Delhi,Delhi-NCR,N/A,8181810853,N/A,N/A,Non-oxy,available 
N/A,Ambulance,Delhi,Delhi,N/A,9871809086,N/A,N/A,N/A,available 
N/A,Ambulance,Delhi,Delhi,N/A,9910944960,N/A,N/A,"Ventilator, non-oxy",available 
N/A,Ambulance,Delhi,Delhi,N/A,7291000078,N/A,N/A,Ventilator,available 
N/A,Ambulance,Delhi,Delhi-NCR,N/A,9996963542,N/A,N/A,N/A,available 
N/A,Ambulance,Delhi,Delhi,N/A,8826328434,N/A,N/A,N/A,available 
N/A,Ambulance,Delhi,Delhi,Deepak Kumar,8076448729,N/A,N/A,N/A,available 
N/A,Ambulance,Delhi,Delhi,Rashi Ambulance,8199800081,N/A,N/A,Oxy,available 
N/A,Ambulance,Delhi,Delhi,Sagar Ambulance,9996963542,N/A,N/A,Oxy,available 
N/A,Ambulance,Delhi,Noida,N/A,9457583649,N/A,N/A,Oxy and ventilator ,available 
N/A,Ambulance,Delhi,Delhi,Vinod Ambulance,9811645999 / 7011480669,N/A,N/A,Oxy,available 
N/A,Ambulance,Delhi,Delhi,N/A,8181810853,N/A,N/A,Oxy,available 
N/A,Ambulance,Delhi,Delhi,Bhilai Ambulance,8448767431 / 9910100000,N/A,N/A,N/A,available 
N/A,Ambulance,Delhi,Delhi,Auto Ambulance,9818430043 / 011-41236614,N/A,N/A,Oxy,available 
N/A,Ambulance,Delhi,Delhi,Fern Cabs,9107907991,N/A,N/A,Doctor available for emergencies,available 
N/A,Ambulance,Delhi,Delhi,Maxis Ambulance,8081818178,N/A,N/A,N/A,available 
N/A,Ambulance,Delhi,Delhi,Aas Ambulance,9540983232,N/A,N/A,N/A,available 
N/A,Ambulance,Delhi,Delhi,Hardeep Ambulance,8700982150,N/A,N/A,ICU and oxy,available 
N/A,Ambulance,Delhi,Delhi-NCR,Suvidha Ambulance,9990008877,N/A,N/A,Life support available,available 
N/A,Ambulance,Delhi,Delhi-NCR,Deepak Ambulance,9818071813,N/A,N/A,Oxy,available 
N/A,Ambulance,Delhi,Delhi,Sunny Ambulance,9810422206 / 7999999535,N/A,N/A,Oxy,available 
N/A,Ambulance,Delhi,Delhi-NCR,PRA Ambulance,9873934133,N/A,N/A,Oxy,available 
N/A,Ambulance,Delhi,South and Southwest Delhi,WB Ambulance,8368886870 / 8595620046,N/A,N/A,"First number for oxy, second for non-oxy",available 
N/A,Home ICU & Equipments,Delhi,Delhi-NCR,Doctor365,9321694402,N/A,www.doctor365.co.in/patient-registration.php,"Charge roughly 15,000/day",N/A
N/A,Home ICU & Equipments,Delhi,Gautam Buddh Nagar,Antara Home Care,9811060859 / 9811441111,N/A,N/A,Senior citizen care available,N/A
N/A,Home ICU & Equipments,Delhi,Delhi,Critical Care Unified,8010978001,N/A,N/A,N/A,N/A
N/A,Home ICU & Equipments,Delhi,Gurgaon / Gurugram,Karmasthal,9810918237,N/A,https://karmasthal.com/,Senior citizen care available,N/A
N/A,Home ICU & Equipments,Delhi,Delhi,Dr Ankur,9990104050,N/A,N/A,N/A,N/A
N/A,Home ICU & Equipments,Delhi,Delhi,RespiKart,011-43526843 / 844-844-0648,N/A,https://respikart.com/icu-setup-home/,Equipment provider,N/A
N/A,Home ICU & Equipments,Delhi,Delhi,Tejas Care24,9891816660,N/A,https://tejas-care.business.site/,Attendant and equipment available,N/A
N/A,Home ICU & Equipments,Delhi,Delhi,Dr Dixit,9812517001,N/A,N/A,Oxygen available,N/A
N/A,Home ICU & Equipments,Delhi,Delhi,Shri Ram Nursing Bureau,7551183923 / 7549023185,N/A,N/A,Attendants available,N/A
N/A,Home ICU & Equipments,Delhi,Delhi,Medsay,8505999222,N/A,N/A,For patients who need oxygen support of 5LPM or less,N/A
N/A,Home ICU & Equipments,Delhi,Delhi,Ankur Mittal,9990104050,N/A,N/A,N/A,N/A
N/A,Home ICU & Equipments,Delhi,Pan-India,N/A,9667165255,N/A,N/A,Home ventilator,N/A
N/A,Home ICU & Equipments,Delhi,Gurgaon / Gurugram,N/A,9716112345,N/A,N/A,BiPAP (SpiceOxy) available,N/A
N/A,Home ICU & Equipments,Delhi,Faridabad,Sarvottam Appliances Private Ltd.,8048566503,N/A,N/A,Portable Ventilator,N/A
N/A,Home ICU & Equipments,Delhi,Delhi-NCR,Om Nursing (Dr Mukesh),8826911383,N/A,N/A,Attendants available,N/A
N/A,Home ICU & Equipments,Delhi,Delhi-NCR,Shivani Home Health Care Services,9810526521,N/A,N/A,"Portable IV, bed and attendants available; 10 days package - 17,000/- per day, online consultation if doctor available with extra payment",N/A
N/A,Home ICU & Equipments,Delhi,Delhi-NCR,N/A,9350911992,WhatsApp,N/A,"15 days cost: 1.5L for Ventilator, 50k for monitor",N/A
,Home ICU & Equipments,Delhi,Delhi-NCR,The Ansari Patient Care,9312891886 / 9311891886,N/A,N/A,Medical Equipment at Home - Rent/Sale,N/A
N/A,Food Service,Delhi,"Delhi, Gurgaon",Chef Akash,9873240888,9911522977/ 9650607942,N/A,Free food for covid patients ,N/A
N/A,Food Service,Delhi,Delhi,N/A,7271997199,N/A,HTTP://bit.ly/rationsewa,Dry ration,N/A
N/A,Food Service,Delhi,Delhi,N/A,9899270706,N/A,N/A,Free food,N/A
N/A,Food Service,Delhi,South Delhi,Kitchen & More,8448976006,WhatsApp and calls,N/A,Free dinner services,N/A
N/A,Food Service,Delhi,Delhi ,Mom's Kitchen ,8527560567,N/A,N/A,Free food for covid patients ,N/A
N/A,Food Service,Delhi,Delhi-NCR,Seth Foundation,9811300235 / 9810259424 / 9810000235,N/A,N/A,"Ration, Medicine, Doctor Consultation, Oximeter etc.",N/A
N/A,Food Service,Delhi,Delhi-NCR,Uttam Foundation,9990300900,N/A,N/A,"Ration, Medicine, Doctor Consultation, Oximeter etc.",N/A
N/A,Food Service,Delhi,Lajpat Nagar and 2km radius from it,Nagpal's,9643031021,N/A,N/A,Rs. 40/-. Payment on Paytm/G-pay/PhonePe,N/A
N/A,Food Service,Delhi,Noida,Torque Rasoi,9716365555 / 8588823472,N/A,N/A,Book lunch order by 10:30 am and dinner order by 6:30 pm,N/A
N/A,Food Service,Delhi,West and South Delhi,Anuj Chugh,8527560567,N/A,N/A,Lunch,N/A
N/A,Food Service,Delhi,West and South Delhi,Shubham Chawla,8146767455,N/A,N/A,Lunch,N/A
N/A,Food Service,Delhi,Noida,Asheesh,9999910097,N/A,N/A,N/A,N/A
N/A,Food Service,Delhi,Greater Noida,Sabhyata,9971793293,N/A,N/A,N/A,N/A
N/A,Food Service,Delhi,Dwarka,Kaveri,9999356846,N/A,N/A,N/A,N/A
N/A,Food Service,Delhi,Faridabad,Seema,9999968305,N/A,N/A,N/A,N/A
N/A,Food Service,Delhi,Gurgaon / Gurugram,Shipra,9810774958,N/A,N/A,N/A,N/A
N/A,Food Service,Delhi,East Delhi,Ruby,9873939959,N/A,N/A,N/A,N/A
N/A,Food Service,Delhi,GK-2,Rakhi,9818643430,N/A,N/A,N/A,N/A
N/A,Food Service,Delhi,Kalkaji,Kusha,9582555032,N/A,N/A,N/A,N/A
N/A,Food Service,Delhi,Kalkaji,Twinkle,9810084988,N/A,N/A,N/A,N/A
N/A,Food Service,Delhi,Panchsheel Park,Mrinali,9999215777,N/A,N/A,N/A,N/A
N/A,Food Service,Delhi,West Delhi,Namrata,9313327121,N/A,N/A,N/A,N/A
N/A,Food Service,Delhi,"Model Town, Delhi",N/A,7827315098,N/A,N/A,N/A,N/A
N/A,Food Service,Delhi,"Adchini, Delhi",N/A,9810367679,N/A,N/A,N/A,N/A
N/A,Food Service,Delhi,Noida,N/A,9870509172,N/A,N/A,N/A,N/A
N/A,Food Service,Delhi,Noida,N/A,9911059317,N/A,N/A,N/A,N/A
N/A,Food Service,Delhi,Gurgaon / Gurugram,Rashmi Chandra,9811201254,N/A,N/A,N/A,N/A
,Food Service,Delhi,CR Park,Srishti Sensarma,8586985336 / 9810427956,N/A,N/A,N/A,N/A
,Food Service,Delhi,Gurgaon / Gurugram,Shradha Saraf,9319273567,N/A,N/A,N/A,N/A
,Food Service,Delhi,Gurgaon / Gurugram,Leina,9999208992,N/A,N/A,N/A,N/A
,Food Service,Delhi,Gurgaon Soith City-1,Prerna,8800024155,N/A,N/A,N/A,N/A
,Food Service,Delhi,Gurgaon Soith City-2,Smriti Murarka,8297071234,N/A,N/A,N/A,N/A
,Food Service,Delhi,Delhi,Ashwani Shroff,9899009779,N/A,N/A,N/A,N/A
,Food Service,Delhi,"East Delhi, Noida, Ghaziabad","Roopali Malhotra, Rajat",9871323372,N/A,N/A,N/A,N/A
,Food Service,Delhi,Lajpat Nagar,Harneet Kaur,9971654051,N/A,N/A,N/A,N/A
,Food Service,Delhi,West Delhi,Tasty Tiffin,9311851321,N/A,N/A,N/A,N/A
,Food Service,Delhi,Delhi,Home Bytes,9711150463,N/A,N/A,N/A,N/A
,Food Service,Delhi,Sarita Vihar And Jasola,Manisha's Kitchen,9818643182 / 9582261568,N/A,N/A,N/A,N/A
,Food Service,Delhi,"Noida Sector 18, Gurudwara",Rajesh,9654714986,N/A,N/A,"Free, COVID report needed, lunch and dinner; order day before",N/A
,Food Service,Delhi,Ghaziabad and Indirapuram,Tulika's Kitchen,9810710272,N/A,N/A,N/A,N/A
,Food Service,Delhi,"Gurgaon DLF Phase 1,2,3,4,5",Swati Sharad,9871225514,N/A,N/A,N/A,N/A
,Food Service,Delhi,"Gurgaon DLF Phase 1,2,3",Sheetal Midha,9717484071,N/A,N/A,N/A,N/A
,Food Service,Delhi,"Gurgaon , Sohna Road Sector 49-56",Richa Milan,9910110739,N/A,N/A,N/A,N/A
,Food Service,Delhi,"Gurgaon, Sohna Road",Madhu,7827999639,N/A,N/A,N/A,N/A
,Food Service,Delhi,Gurgaon Sector 69,Anuradha Chandra,9650935551,N/A,N/A,N/A,N/A
,Food Service,Delhi,"Gurgaon Sector 69, 70, Sohna Road",Prabhjot Kaur,9654876385,N/A,N/A,N/A,N/A
,Food Service,Delhi,"Gurgaon, Sohna Road",Neha Singh,9810861623,N/A,N/A,N/A,N/A
,Food Service,Delhi,"Sarvodaya Enclave, Adhchini",Bimbita Aggarwal,9810367679,N/A,N/A,"Vegetarian food for lunch and dinner, ₹100 per person per meal. Orders taken till 6PM one day prior.",N/A
,Food Service,Delhi,Delhi-NCR,Tummyful Tiffin,9711150463,N/A,N/A,N/A,N/A
,Food Service,Delhi,Delhi-NCR,Bhartiya Bhojan Company,9354807919,N/A,N/A,N/A,N/A
,Food Service,Delhi,Delhi-NCR,Krishna Tiffin Service,9990569633,N/A,N/A,N/A,N/A
,Food Service,Delhi,Delhi-NCR,Savoury and Sage,9654562471 / 987329161,N/A,N/A,N/A,N/A
,Food Service,Delhi,Delhi-NCR,Delivery Kitchen,9999298091,N/A,N/A,N/A,N/A
,Food Service,Delhi,South Delhi,Mother House World,8920625454,N/A,N/A,N/A,N/A
,Food Service,Delhi,Vasant Kunj,Reshma's Kitchen,98102290222,N/A,N/A,N/A,N/A
,Food Service,Delhi,Lajpat Nagar,Mummy's Kitchen,9810462091,N/A,N/A,N/A,N/A
,Food Service,Delhi,Lajpat Nagar,Anita,8792257463,N/A,N/A,N/A,N/A
,Food Service,Delhi,Lajpat Nagar,Shipra,9810774958,N/A,N/A,N/A,N/A
,Food Service,Delhi,"GK, Vasant Kunj, Sultanpur, Chattarpur",Soumya,9717741360,N/A,N/A,N/A,N/A
,Food Service,Delhi,"Gulmohar Park, Hauz Khas, Green Park",Snigdha,9971767771,N/A,N/A,N/A,N/A
,Food Service,Delhi,North Delhi,Batman TIffin Service,9582754430,N/A,N/A,N/A,N/A
,Food Service,Delhi,North Delhi,Renu Aneja,9999861511,N/A,N/A,N/A,N/A
,Food Service,Delhi,Prashant Vihar,Ritu,9818254051,N/A,N/A,N/A,N/A
,Food Service,Delhi,Janakpuri,Delhi TIffins,9718029639,N/A,N/A,N/A,N/A
,Food Service,Delhi,Rajouri Garden,Ravinder Singh,9810275525,N/A,N/A,N/A,N/A
,Food Service,Delhi,Rajouri Garden,Prabhjot Kaur,9871559925,N/A,N/A,N/A,N/A
,Food Service,Delhi,Gurgaon / Gurugram,Marwadi Khanna,9958983606,N/A,N/A,N/A,N/A
,Food Service,Delhi,Gurgaon / Gurugram,Vinum Gupta,9910274260,N/A,N/A,N/A,N/A
,Food Service,Delhi,Faridabad,Pragyaa,8595891126,N/A,N/A,N/A,N/A
,Food Service,Delhi,East Delhi,Tanmay Verma,9310124645,N/A,N/A,N/A,N/A
,Food Service,Delhi,"Paschim Vihar, Delhi",Mona,9711167475,N/A,N/A,N/A,N/A
,Food Service,Delhi,Delhi,Ruchi Chadha,9320407074,N/A,N/A,N/A,N/A
,Food Service,Delhi,Rohini Sector-3,N/A,7678169499,N/A,N/A,N/A,N/A
,Food Service,Delhi,East Delhi,St. Mary's Caterers Tiffin Service,8178853638,N/A,N/A,N/A,N/A
,Food Service,Delhi,Delhi,Covifeed (Simmi Malhotra),9971886733,N/A,N/A,N/A,N/A
,Food Service,Delhi,Delhi,Rituparna Borah,9999977272,N/A,N/A,N/A,N/A
,Food Service,Delhi,South Delhi,Mehak Khullar,9811181271 / 9811477044,N/A,N/A,N/A,N/A
,Food Service,Delhi,Faridabad,Mrs. Ragini Malhotra,8178035411,N/A,N/A,N/A,N/A
,Food Service,Delhi,Lucknow,Aditya Mishra,8738866646,N/A,N/A,N/A,N/A
,Food Service,Delhi,Delhi,Paro's Kitchen,9971516084,N/A,N/A,150/- per person,N/A
,Food Service,Delhi,Gurgaon / Gurugram,Vasudha tiffin/thaali,9953764490,N/A,N/A,N/A,N/A
,Food Service,Delhi,Noida Sector-137,Vishal,9718761666,N/A,N/A,N/A,N/A
,Food Service,Delhi,Northwest Delhi,Apni Kitchen,9654419922,N/A,N/A,Jain food available,N/A
,Food Service,Delhi,North Delhi,Renee's Cooking Kitchen,9818998706,N/A,N/A,"300/- for one, 500/- for two",N/A
,Food Service,Delhi,West Delhi and South Delhi,N/A,8146767455,N/A,N/A,"COVID report needed, free",N/A
,Food Service,Delhi,"Model Town, Camp, Mukerjee Nagar, Gupta Colony, Gujrawal Town, Tagore Park, Derawal Nagar",N/A,8287678393,N/A,N/A,N/A,N/A
,Food Service,Delhi,East Delhi,Theka The Food Bar,7210001139,N/A,N/A,N/A,N/A
,Food Service,Delhi,East Delhi,Iktara Foundation,7290896969,N/A,N/A,Free,N/A
,Food Service,Delhi,Delhi-NCR,N/A,9899270706,N/A,N/A,N/A,N/A
NA,Oxygen Cylinder,Uttar Pradesh,Lucknow,NA,9984786786,WhatsApp & Call,"177/96, ABM Square, GWYNNE ROAD Chaarbatti Chauraha, GOLAGANJ,",8881771199,NA
NA,Oxygen Cylinder,Uttar Pradesh,Lucknow,Murai Oxygen,7947353362,WhatsApp & Call,Murai Oxygen,Oxygen Cylinders in Lucknow for purchase,NA
NA,Oxygen Cylinder,Uttar Pradesh,Lucknow,Vasu Gas,9044430619,WhatsApp & Call,NA,NA,NA
NA,Oxygen Cylinder,Uttar Pradesh,Lucknow,NA,9304084300,WhatsApp & Call,https://drive.google.com/file/d/1gBZfaSg7DZFdMRRNPIQ-Zj_1lV83gN-E/view,Ankur- 9839226406 Javed- 8127411951,NA
NA,Oxygen Cylinder,Uttar Pradesh,Lucknow,NA,7905688404,WhatsApp & Call,NA,45 ltrs available,NA
NA,Oxygen Cylinder,Uttar Pradesh,Kanpur,NA,7860100001,Whatsapp,NA,covid helpline no. 18001805159 05122526004 (hospital & bed enquiry),NA
NA,Oxygen Cylinder,Uttar Pradesh,Varanasi,Ganesh Oxygen,9838770372,WhatsApp & Call,NA,NA,NA
NA,Oxygen Cylinder,Uttar Pradesh,Varanasi,Ramnagar Industrials,7992249149,WhatsApp & Call,NA,NA,NA
NA,Oxygen Cylinder,Uttar Pradesh,Varanasi,Sanrai Med Ind,7600027303,WhatsApp & Call,NA,NA,NA
NA,Oxygen Cylinder,Uttar Pradesh,Varanasi,Jyoti Industrials,7355775344,WhatsApp & Call,NA,NA,NA
NA,Oxygen Cylinder,Uttar Pradesh,Varanasi,Vijay Brothers,9935530688,WhatsApp & Call,NA,NA,NA
NA,Oxygen Cylinder,Uttar Pradesh,Varanasi,Keshwarwani Electrodes,9919893022,WhatsApp & Call,NA,NA,NA
